year,cofog_level1_code,dept_code,value
2008,10,NAW090,103050000.0
2009,01,Dept045,32611000.0
2009,10,Dept033,-1712728999.9999998
2007,04,Dept075,13370000.0
2005,03,DWP032,0.0
2007,01,CAB010,20314000.0
2004,10,Dept048,-171002000.00999996
2008,01,DWP032,30714000.0
2007,01,ELC011,19353000.0
2006,01,Dept067,37090000.0
2005,10,Dept032,102661617286.09
2009,03,DWP032,0.0
2004,01,CAB010,40514000.0
2010,05,DTI084,313992793.54
2005,01,NIO081,53435000.0
2004,04,Dept075,9073000.0
2004,01,Dept041,7546999.989999998
2005,04,NIE099,1298238000.0
2009,10,Dept087,2059999.9900000002
2005,10,Welsh LG Adjustment/Input,1901857000.0
2010,10,Dept034,0.0
2010,09,NIE099,2751884000.0
2009,04,Welsh LG Adjustment/Input,521831000.0
2004,07,SCT075,7663543000.0
2006,05,DEC066,0.0
2005,08,DTI084,6675000.0
2006,05,Dept084,167367000.01
2010,09,Dept084,15347861900.0
2010,04,DFT004,204704000.0
2005,01,GAD031,-586000.0
2005,10,Scottish LG Adjustment/Input,3810637000.0
2006,04,Scottish LG Adjustment/Input,1091953000.0
2010,10,NIO081,115697000.0
2010,04,Dept048,45243000.02999999
2005,09,Dept022,7325044345.539996
2007,01,Dept005,164336000.02999994
2009,01,PRO067,0.0
2005,10,Dept047,20166000.02
2004,05,England LA data,3634215000.0000005
2008,10,Dept033,-1831967999.9900002
2005,10,Dept087,2426000.0099999993
2010,02,England LA data,0.0
2004,02,Scottish LG Adjustment/Input,3722000.0
2006,10,Dept075,0.0
2007,01,Dept084,416000.0
2006,08,England LA data,3721951999.9999995
2006,10,Dept087,2498999.99
2007,03,HMT087,0.0
2005,04,NAW090,1117865000.0
2005,08,England LA data,3661366999.97
2005,08,SCT075,163052000.0
2008,01,Dept085,610357785.2099999
2008,09,Dept048,60400000.0
2006,08,SCT075,181282000.0
2004,10,Dept017,2584384999.9899993
2005,05,Dept066,1569884999.9900002
2006,01,MOD017,41762000.0
2004,01,HGT089,0.0
2005,08,Dept084,79357999.99000001
2009,01,Dept066,64079999.980000004
2007,01,Dept030,4645765000.0
2007,05,NIE099,56176000.0
2007,01,RMT087,0.0
2005,03,NAW090,20276000.0
2009,01,Dept030,5631764000.0
2005,01,ILR041,4291277000.0
2007,04,Dept006,9306000.0
2005,07,Northern Irish LG Adjustment/Input,38280000.0
2009,07,NAW090,5847726000.0
2007,07,Dept048,113200000.0
2004,09,Dept022,6505541089.929997
2008,01,NAW090,424367000.0
2006,01,FCO027,1171064000.0
2004,04,Dept025,-19494000.0
2009,10,Dept075,0.0
2008,07,England LA data,196390999.98
2009,06,NIE099,1082317000.0
2006,03,Dept016,645282000.0099999
2010,07,DTI084,348077954.84
2009,01,HOC036,172184000.0
2010,04,MOD017,33888000.0
2010,09,England LA data,0.0
2006,03,TSC068,0.0
2006,01,GAD031,-16000.0
2007,10,England LA data,35707906000.01001
2005,05,Scottish LG Adjustment/Input,533780000.0
2004,06,Northern Irish LG Adjustment/Input,89768000.0
2009,01,Dept085,635210979.5599998
2009,08,England LA data,4440161000.000001
2004,01,Dept061,2608000.01
2005,01,RMT087,0.0
2005,07,Dept084,225340999.99000004
2010,06,NAW090,246026000.0
2009,01,Dept004,300000.0
2007,08,DTI084,0.0
2010,08,Scottish LG Adjustment/Input,0.0
2007,01,DID030,-2569000.0
2006,07,Dept022,9167000.0
2006,04,BTI013,30695000.0
2008,06,ENG_HRA,3225688999.9799995
2010,08,Dept085,41899999.99999999
2007,04,Dept087,0.0
2004,01,Dept004,-872000.0
2007,01,Dept085,586693989.6999997
2009,04,ECG025,0.0
2004,04,MOD017,28243000.0
2004,01,Dept050,0.0
2009,04,England LA data,9082845000.039997
2007,10,Dept033,-1793919000.0000014
2006,04,MOD017,47448000.0
2010,01,Dept087,23985000.0
2004,03,Welsh LG Adjustment/Input,673717000.0
2006,04,Dept032,3044385999.9699984
2005,02,HMT087,0.0
2005,04,BTI013,27379000.0
2007,01,Dept045,39681000.0
2006,01,NIO081,69397000.0
2010,01,DOH033,3012000.0
2006,01,Dept022,0.0
2010,03,Dept022,142491265.57999998
2007,03,Dept004,178442298.70999998
2007,01,NIE099,354844000.0
2004,06,England LA data,3219835999.9900002
2006,06,Dept032,2194999.99
2007,04,NAW090,1156934000.0
2010,01,Dept045,18998000.0
2009,03,SCT075,1149454000.0
2004,06,NIE099,776294000.0
2004,06,SCT075,759486000.0
2005,07,England LA data,304766000.01000005
2007,03,SCT075,952432000.0
2008,10,NIE099,5630527000.0
2004,01,PCO065,0.0
2010,03,HOF034,1826618000.0
2005,01,CEX086,26157533000.0
2004,04,Dept088,22098999.979999997
2010,01,Dept027,359292999.99
2005,10,Dept006,0.0
2006,01,EFR003,0.0
2009,01,DPM085,3452000.0
2009,01,DNS049,182410000.0
2010,01,Dept066,63618999.99
2010,03,Welsh LG Adjustment/Input,0.0
2005,03,HGT089,0.0
2010,10,Scottish LG Adjustment/Input,0.0
2010,04,DTI084,328453304.34000003
2010,02,HMT087,0.0
2009,06,Welsh LG Adjustment/Input,324948000.0
2004,01,OPC060,21298000.0
2007,04,Dept066,1165188520.31
2004,01,DNS049,161680000.0
2006,01,DCM048,0.0
2007,05,SCT075,205243000.0
2009,09,DTI084,0.0
2010,10,Dept047,16219000.01
2004,01,HOL037,118411000.0
2006,09,Dept022,7636907523.23
2010,04,Dept075,10108000.0
2009,04,NAW090,1123491000.0
2008,04,Dept085,1676574999.9900005
2008,03,DPM085,0.0
2005,06,Dept085,2616442742.0600004
2004,03,NIE099,72774000.0
2007,10,NIE099,5501028000.0
2007,05,Dept066,1782988025.53
2010,04,Dept022,41900801.19
2004,01,Dept027,617240000.02
2007,04,Dept057,26585999.979999997
2004,04,Dept085,1636156399.9900002
2007,04,Welsh LG Adjustment/Input,548972000.0
2004,03,NIC081,153770000.0
2009,02,Dept004,307000.02
2009,01,IPS069,6571000.0
2007,07,NIE099,2898182000.0
2009,10,NIE099,6273596000.0
2005,01,NAO050,65036000.0
2005,04,Dept084,2551514976.0000014
2008,10,Dept085,78003557.28
2006,04,Northern Irish LG Adjustment/Input,15370000.0
2010,10,Dept006,0.0
2007,01,DOH033,0.0
2004,01,SCO042,13644000.0
2004,08,Scottish LG Adjustment/Input,635209000.0
2009,06,Scottish LG Adjustment/Input,285633000.0
2008,08,Dept017,20371999.999999996
2007,02,Dept085,21200000.000000007
2010,03,Dept019,40688999.980000004
2005,01,DCM048,0.0
2004,08,Dept017,18369999.999999993
2007,02,Scottish LG Adjustment/Input,4177000.0
2004,03,DPM085,0.0
2008,04,Dept057,29479999.96
2004,07,NAW090,4313798000.0
2004,10,NIE099,4672121000.0
2007,01,NIO081,-3199000.0
2008,03,TSC068,0.0
2005,06,Dept032,11596000.0
2005,02,Dept017,43000.0
2007,03,DPM085,0.0
2006,08,NIE099,102521000.0
2009,01,Dept041,238573000.01
2006,04,DFT004,175573000.0
2004,10,Dept085,48461064.0
2010,01,HOF034,163742000.0
2009,03,Welsh LG Adjustment/Input,919940000.0
2006,01,CAB010,18797000.0
2009,09,Dept003,6962000.0
2004,10,Dept074,71000.0
2009,09,England LA data,47701731000.00001
2007,03,LCD047,4343000.0
2007,03,HGT089,0.0
2004,02,Dept017,241000.0
2007,01,Dept061,857000.0
2005,03,RCP046,33966000.0
2005,01,Dept085,665658702.2300001
2008,01,IPS069,0.0
2010,01,Dept030,6456397000.0
2007,10,Dept041,26321008238.48
2004,09,Dept048,190800000.0
2010,08,DTI084,6000000.0
2006,07,England LA data,277672000.0199999
2006,03,Dept066,0.0
2008,01,Dept004,400000.0
2010,04,Dept085,1787895426.3400004
2008,07,Dept022,9874999.98
2006,04,Dept013,67368000.00999998
2004,09,England LA data,35794987000.0
2006,01,WOF091,4233000.0
2008,01,Welsh LG Adjustment/Input,283109000.0
2009,08,Dept075,93423999.97999999
2009,04,MOD017,33888000.0
2007,10,Dept022,1826214243.3600006
2004,01,Dept067,32643000.0
2006,10,Dept057,715999.9799999999
2006,04,England LA data,7771214999.99
2007,10,Dept010,726236999.9799999
2010,04,England LA data,0.0
2008,01,ILR041,4249114000.0
2005,01,Dept030,4238624000.0
2010,01,GEO064,75430000.0
2006,10,SCT075,64774000.0
2005,01,NAW090,265439000.0
2008,09,Dept084,14019668800.009998
2005,03,NIC081,108962000.0
2008,03,Dept066,346999.99000000005
2010,01,Dept050,0.0
2004,02,England LA data,36565000.01
2004,03,Dept085,33891709.3
2006,08,Dept075,50272000.02
2008,08,Dept048,2142344041.9000015
2009,05,NAW090,103073000.0
2010,06,Dept003,9129536.99
2006,01,Dept010,274339000.00000006
2007,01,Dept009,32001999.99
2004,02,MOD017,28563435000.0
2005,01,FCO027,1177456000.0
2006,03,RCP046,36040000.0
2004,01,FCO027,1120960000.0
2009,04,Dept020,54763999.989999995
2005,10,Dept017,2566038999.99
2010,03,HGT089,0.0
2005,02,England LA data,46060999.98
2008,04,Dept004,9122940471.519999
2008,04,Dept006,9080000.0
2009,01,FCO027,1312997000.0
2004,01,Dept032,0.0
2009,04,HMT087,-1734700000.0
2004,03,NAW090,19929000.0
2009,09,Dept022,9807721972.579996
2004,01,MOD017,136568000.0
2009,10,SCT075,181807000.0
2004,04,Dept004,7219690737.600008
2009,01,Dept048,0.0
2010,03,Dept085,79846160.01
2009,05,DPM085,750000.0
2008,04,Dept026,135086999.99999997
2008,01,HOL037,76712000.0
2010,06,NIE099,750109000.0
2008,01,CES014,180087000.0
2009,10,Dept048,-369500000.0
2009,01,MOD017,58272000.0
2005,03,Dept047,7946502000.019996
2004,01,Dept087,19233999.980000004
2006,01,HOA038,152915000.0
2004,01,Dept030,3607610000.0
2010,09,DTI084,0.0
2006,05,England LA data,4079245999.99
2005,02,Dept085,21247135.30999999
2008,08,NAW090,110398000.0
2007,10,Dept085,31800998.999999996
2005,08,NIE099,93557000.0
2009,04,Dept003,3632128000.1700006
2009,01,NIO081,53556000.0
2009,08,DTI084,6000000.0
2010,08,Dept075,99894000.00999999
2006,03,HOF034,1978846000.0
2006,05,DPM085,0.0
2005,03,DPM085,0.0
2007,01,DTI084,0.0
2004,03,Dept010,0.0
2006,09,England LA data,39855276000.00001
2009,01,Dept022,0.0
2010,05,Scottish LG Adjustment/Input,0.0
2007,05,Dept041,1000000.0100000001
2009,10,Dept004,0.0
2006,01,DFT004,0.0
2005,05,NAW090,103816000.0
2007,08,Dept084,127490000.00000001
2007,04,DFT004,182059000.0
2009,04,Dept032,3572802000.0099998
2010,02,Dept010,1960956000.0
2008,01,HGT089,0.0
2007,10,NAW090,146802000.0
2008,07,Dept033,90039713000.0
2009,01,NAW090,622695000.0
2004,01,Dept022,0.0
2004,01,ELC011,22501000.0
2005,01,Dept041,214963000.02000007
2009,04,NIE099,1577883000.0
2006,05,SCT075,186019000.0
2006,03,Dept034,1463117000.0
2008,03,LCD047,136000.0
2004,03,RCP046,32052000.0
2007,03,Welsh LG Adjustment/Input,771219000.0
2007,01,Dept022,-5307000.000000001
2007,01,Dept041,122937000.02999996
2007,09,Dept048,113200000.0
2006,01,DNS049,164524000.0
2007,05,DTI084,191429000.0
2010,05,NAW090,103989000.0
2005,04,Dept066,1566131248.08
2010,03,England LA data,0.0
2005,06,NIE099,854560000.0
2007,09,Dept062,505000.01000000007
2006,01,NAW090,377433000.0
2009,02,Welsh LG Adjustment/Input,4413000.0
2004,10,Dept034,674000.0099999999
2010,01,Dept041,136962097.02
2010,05,Dept003,1327656756.3099988
2006,03,NIO081,1055202000.0
2009,01,DWP032,89418000.0
2007,06,Welsh LG Adjustment/Input,327286000.0
